"CARDID","LINEID","BEGINTIME","ENDTIME","STATIONFROM","STATIONTO","BUSID"
"4D3D88C108DEEA752FFAE99734DDD1C4","00991","20140401071000","20140401082647","16","44","00016386"
"5BE78316291482837788869F7A667AAD","00991","20140401081400","20140401082757","42","45","00016386"
"5B05095307F6ECD3E4F9DCE7F18B2D73","00991","20140401081400","20140401082802","42","45","00016386"
"BD24D9425AB65D9B06D4A18109818BFF","00991","20140401075900","20140401083009","38","45","00016386"
"98F3B0668842FBF913E61080EC6C6BA0","00991","20140401081600","20140401083629","43","47","00016386"
"A870B25CBF8F659763AAA9F23DF87DB9","00991","20140401083400","20140401083723","46","47","00016386"
"2F08F03A0C5B4A6720F14ABFD41C128C","00991","20140401081100","20140401083742","40","48","00016386"
"AFC45B35891F141A16B81FE31C6DDAA7","00991","20140401081400","20140401083833","42","49","00016386"
"BE591993346B44C68A4F8FBCF88B6E5E","00991","20140401083300","20140401083839","45","49","00016386"
"BA730A99C6E722021510F58E40415BA7","00991","20140401095600","20140401102429","39","27","00016386"
"3CAF514254D686106DA19531F28166EC","00991","20140401102000","20140401102433","29","27","00016386"
"35D9E557AEBAA5DAC19B4841ED17263B","00991","20140401101900","20140401102436","30","27","00016386"
"F43706EB1C2B93E29B0CE9BF4B49274B","00991","20140401102400","20140401102447","28","27","00016386"
"93E2A9DEBA7B862E923F27D13CFC9A54","00991","20140401095500","20140401102453","40","27","00016386"
"52996498302D2158F39024120B0796EE","00991","20140401102400","20140401102814","28","27","00016386"
"D1AC4C9E249EEE86695C2C020A8B7511","00991","20140401095000","20140401102839","41","27","00016386"
"CEED9BC02EACC3E9D5EC958349E8796E","00991","20140401102000","20140401102923","30","26","00016386"
"F2EBB80CB2988905E0A6CDEB6BEDE43C","00991","20140401100700","20140401102931","36","26","00016386"
"9239D9CF76623590E023372AA5E79D59","00991","20140401100700","20140401103130","35","25","00016386"
"F0AAFB55346B4FD2DAB2D252DE850BE0","00991","20140401102800","20140401103308","27","24","00016386"
"C3B459EDDAAD830A01FC24694C108AF7","00991","20140401095500","20140401104004","40","22","00016386"
"4B4DC306C2B9EE0F9EA7D3094A5A83A6","00991","20140401103600","20140401104025","23","22","00016386"
"18412D6516161980D433D8311713A3D0","00991","20140401101600","20140401104151","32","22","00016386"
"7D8A69D6709D023BE66E868646BE46A7","60815","20140401070500","20140401075522","3","10","00015858"
"28086FC5144C4B959FAD4A5310A33ADC","60815","20140401070100","20140401075523","3","10","00015858"
"3478AEDD86811D82D702A1DEFB55D976","60815","20140401065900","20140401075525","3","10","00015858"
"B6EA04C1994ACF1A034BB77232B92B64","60815","20140401070000","20140401075528","3","10","00015858"
"23D1899846EA93C529ADA84A29A13D76","60815","20140401070000","20140401075529","3","10","00015858"
"A77186F39C5F196392B07583DB1EE38D","60815","20140401070100","20140401075532","3","10","00015858"
"DB2EAA2909656408E174F6869097A8B4","60815","20140401065900","20140401075533","3","10","00015858"
"505818D6BC6C0DA88DF343F51E4B4A03","60815","20140401070000","20140401075534","3","10","00015858"
"717892515E096A9A1E648602F18FE89C","60815","20140401070200","20140401075535","3","10","00015858"
"309A2E74ACA0966E139ED13CEFF7E85A","60815","20140401070000","20140401075537","3","10","00015858"
"64998AA462EF654DADD6809599BC6F27","60815","20140401070300","20140401075539","3","10","00015858"
"21D3D53281D3E46C51A40242543BF511","60815","20140401070300","20140401075541","3","10","00015858"
"72F7E33E6A6A5BF63DAFC0D2186769BF","60815","20140401070500","20140401075542","3","10","00015858"
"E12909051E1F23CA0F8CB3089C0D88F8","60815","20140401070000","20140401075543","3","10","00015858"
"E80A5285FBEFEACD45295475B8E330FB","60815","20140401070700","20140401075544","3","10","00015858"
"EF37EB8492FDF5256626E28DC8166CE5","60815","20140401070200","20140401075545","3","10","00015858"
"7FFFC6C21D961CACCEDC92B79942800A","60815","20140401070000","20140401075547","3","10","00015858"
"5E511A01DC6AEF615BC69F27082B7915","60815","20140401070000","20140401075549","3","10","00015858"
"161CE54CE9FA708F21334DC1B2C2478F","00658","20140401170500","20140401173606","16","7","00013532"
"1552F5F1C073F53D08ACA84803CF4D48","00658","20140401171900","20140401173623","14","7","00013532"
"E7D9F49565F6B95CDB9F9E4DA2B4FFB7","00658","20140401173300","20140401173648","9","7","00013532"
"8F91D5A7179993864540B60D8048ED91","00658","20140401173300","20140401173906","9","5","00013532"
"949A175E98474CC59D1B6A4DB846C155","00658","20140401173700","20140401173910","7","5","00013532"
"5BC4F445BAC404549F99ADC3CFED2BF1","00658","20140401173700","20140401173912","7","5","00013532"
"5E15024C96948E59BE0CC9763D34C996","00658","20140401170800","20140401173933","15","5","00013532"
"15E2F6AF4C53D46B09E99DB8078ACE2D","00658","20140401171900","20140401173957","14","5","00013532"
"15841B92D1174137377B29D02354080F","00658","20140401173500","20140401174218","8","4","00013532"
"75950353611E1CD68BD5EABE8B8A07CE","00658","20140401165200","20140401174223","20","4","00013532"
"F36C1C35CFFE4E1D6CECAC82932B581A","00658","20140401171900","20140401174307","14","4","00013532"
"2C7D380292FE35A9519CA4FE2FA84BDA","00658","20140401171300","20140401174524","15","4","00013532"
"1D21E45C84B475E82778389AF580D60A","00658","20140401170800","20140401180133","15","1","00013532"
"844D3EDAFF5AB386DFBCB94B48BB66F8","00658","20140401170800","20140401180136","15","1","00013532"
"447EB84866EB0A3BC4B429BF19D9E7F4","00658","20140401182100","20140401182228","3","3","00013532"
"D12401E2590DEFC9A041B946F4E19A10","00658","20140401181200","20140401182341","1","3","00013532"
"B0A8486399F708D467BAE1B91839B693","00658","20140401182100","20140401182413","3","4","00013532"
"80E85834F6FB5E411D345A0B90AD1ACF","00658","20140401182100","20140401182651","3","4","00013532"
"F98E51FE73DDB4C85FE3C3229CD3C253","00658","20140401182700","20140401183611","4","6","00013532"
"CE2412F4D19D14ED78B7F010419E2B0D","00658","20140401182100","20140401183648","3","7","00013532"
"C61C4BDC92047DB3F0AA9E5DA1A5889F","00658","20140401183100","20140401183727","5","7","00013532"
"0E965C27B39AF2B2B7B973B728A42BE9","00658","20140401181200","20140401183728","1","7","00013532"
"441D56189F33AB8B0890DFD8D1BF56AF","00658","20140401183100","20140401183750","5","8","00013532"
"AF0FABF69E618398726C55F3403C1565","00658","20140401183100","20140401183751","5","8","00013532"
"F059BB5FE3B8CFAF2A20A1F1736D159F","00658","20140401182800","20140401183801","4","8","00013532"
